Stav,Pavilon,Místnost,IČ,Inv. číslo,Název,Seznam,,Cena,Datum pořízení,IČ1,IČ2,Podtyp,Poznámka,SN,Typ,VYRAD,Změna,_source_2024,_source_2025
,1,23,S,S-4854,MONITOR,TRUE,,16 400.00,29.03.2019,S,4854,,,,monitor-LCD CZ350CKbmiiphx,,,True,True
q,1,23,S,S-5119,5119,TRUE,,27 642.45,23.10.2020,S,5119,SWIFT 3,,,Acer Swift 3 ProBook,,,True,True
,1,23,S,S-5307,NTB,TRUE,,39 809.00,22.12.2020,S,5307,,,,Notebook ASUS ROG Zephyrus,,,True,True
OK,1,23,UP,UP-5945,PC,TRUE,,52 607.17,23.08.2022,UP,5945,RTX3070,,,PC Premio Game A261 - SM,,,True,True
OK,1,23,S,S-4897,PC,TRUE,,15 555.00,31.10.2019,S,4897,,,,PC HP EliteDesk 800G2,,,True,True
OK,1,23,UP,UP-4768,MONITOR,TRUE,,2 090.00,27.08.2018,UP,4768,ZR22w,,,monitor LCD ZR22,,,True,True
OK,1,23,S,S-4411,repro,TRUE,,1 590.00,10.09.2015,S,4411,,,,bedničky repro,,,True,True
,1,25,UP,UP-5731,PC,TRUE,,46 012.66,08.12.2021,UP,5731,GTX770,,,Desktop žákovský,,,True,True
OK,1,25,UP,UP-5732,PC,TRUE,,46 012.66,08.12.2021,UP,5732,GTX771,,,Desktop žákovský,,,True,True
OK,1,25,UP,UP-5733,PC,TRUE,,46 012.66,08.12.2021,UP,5733,GTX772,,,Desktop žákovský,,,True,True
,1,25,UP,UP-5734,PC,TRUE,,46 012.66,08.12.2021,UP,5734,GTX773,,,Desktop žákovský,,,True,True
,1,25,UP,UP-5735,PC,TRUE,,46 012.66,08.12.2021,UP,5735,GTX774,,,Desktop žákovský,,,True,True
OK,1,25,UP,UP-5736,PC,TRUE,,46 012.66,08.12.2021,UP,5736,GTX775,,,Desktop žákovský,,,True,True
OK,1,25,UP,UP-5737,PC,TRUE,,46 012.66,08.12.2021,UP,5737,GTX776,,,Desktop žákovský,,,True,True
OK,1,25,UP,UP-5738,PC,TRUE,,46 012.66,08.12.2021,UP,5738,GTX777,,,Desktop žákovský,,,True,True
OK,1,25,UP,UP-5739,PC,TRUE,,46 012.66,08.12.2021,UP,5739,GTX778,,,Desktop žákovský,,,True,True
OK,1,25,UP,UP-5740,PC,TRUE,,46 012.66,08.12.2021,UP,5740,GTX779,,,Desktop žákovský,,,True,True
OK,1,25,UP,UP-5741,PC,TRUE,,46 012.66,08.12.2021,UP,5741,GTX780,,,Desktop žákovský,,,True,True
OK,1,25,UP,UP-5742,PC,TRUE,,46 012.66,08.12.2021,UP,5742,GTX781,,,Desktop žákovský,,,True,True
OK,1,25,UP,UP-5743,PC,TRUE,,46 012.66,08.12.2021,UP,5743,GTX782,,,Desktop žákovský,,,True,True
OK,1,23,UP,UP-5744,PC,TRUE,,46 012.66,08.12.2021,UP,5744,GTX783,,,Desktop žákovský,,,True,True
,1,26,S,S-5183,NTB,TRUE,,8 350.00,19.11.2020,S,5183,,,,Notebook Asus,,,True,True
,1,27,S,S-5315,CHROMEBO,TRUE,,15 990.00,22.12.2020,S,5315,,,,Chromebook Acer,,,True,True
,1,27,S,S-5317,CHROMEBO,TRUE,,15 990.00,22.12.2020,S,5317,,,,Chromebook Acer,,,True,True
,1,27,S,5384,MIKROFON,,,,,,,,,,RADIUM 100,,,True,
OK,1,23,Š,S-4683,MONITOR,TRUE,,4 020.00,29.08.2017,S,4683,VX248,,,"monitor VX248H 24""",,,True,True
OK,2,31,S,S-4503,MONITOR,TRUE,,2 683.00,21.12.2015,S,4503,E2070S,,,monitor AOC LCD,,,True,True
,1,27,S,S-4850,MONITOR,TRUE,,2 350.00,29.03.2019,S,4850,,,,"monitor-Acer LCD, LED 55cm",,RWS,True,True
,1,27,S,5252,MYS,,,,,,,X4000B,,,HP,,,True,
,1,27,S,5257,MYS,,,,,,,X4000B,,,HP,,,True,
,1,27,S,5250,MYS,,,,,,,X4000B,,,HP,,,True,
,1,27,S,5261,MYS,,,,,,,X4000B,,,HP,,,True,
,1,27,UP,UP-5922,NTB,TRUE,,23 558.50,01.07.2022,UP,5922,TMP215-56-72J7,,,Notebook Acer TravelMate P2,,,True,True
,1,27,S,5922,NTB,,,,,,,TravelMAte P,,,Acer,,,True,
,2,4,S,4502,PC,,,,,,,,,,PC Lenovo TC Edge,,,True,
OK,3,31,S,S-4843,PC,TRUE,,25 000.00,29.03.2019,S,4843,Veriton,,,PC-Acer Veriton S2660G,,,True,True
OK,3,29,S,S-4730,PC,TRUE,,7 922.00,22.12.2017,S,4730,,,,PC-HP Compag Elite 8200,,,True,True
,1,27,S,S-5357,PC,TRUE,,15 016.10,31.12.2020,S,5357,,,,PC HP Pro Desk 405 G6DM,,,True,True
,2,5,S,S-4899,PC,TRUE,,15 555.00,31.10.2019,S,4899,,,,PC HP EliteDesk 800G2,,,True,True
,1,27,S,S-5895,PC,TRUE,,22 990.00,30.12.2022,S,5895,MT2924 GTX,,,PC Acer Nitro N50-120+klávesnice,,,True,True
OK,3,05,S,S-4813,REPRO,TRUE,,1 499.00,26.11.2018,S,4813,,,,repro bedničky Genius SP-HF dřevěné,,,True,True
OK,1,27,S,S-5084,REPRO,TRUE,,1 650.00,16.09.2020,S,5084,,,,Repro bedny Genius-set 2 ks,,,True,True
,1,27,S,S-5479,ROUTER,TRUE,,65 644.70,08.12.2021,S,5479,100E/F-60F,,,Router/Firewall,,,True,True
,1,27,S,S-4348,SWITCH,TRUE,,14 153.00,14.05.2015,S,4348,,,,Switch HP 2530-24G,,,True,True
,1,27,S,S-4978,TABLET,TRUE,,9 995.00,23.12.2019,S,4978,,,,"Tablet pocket 10""",,,True,True
,1,27,S,S-5273,TABLET,TRUE,,4 120.00,18.12.2020,S,5273,,,,Tablet xp-pen deco,,3/4,True,True
,1,27,S,S-5274,TABLET,TRUE,,4 120.00,18.12.2020,S,5274,,,,Tablet xp-pen deco,,3/29,True,True
,1,27,S,S-5275,TABLET,TRUE,,4 120.00,18.12.2020,S,5275,,,,Tablet xp-pen deco,,3/29,True,True
,1,27,S,S-5276,TABLET,TRUE,,4 120.00,18.12.2020,S,5276,,,,Tablet xp-pen deco,,3/7,True,True
OK,1,27,UP,UP-5960,TABLET,TRUE,,9 668.00,25.10.2022,UP,5960,,,,Tablet Acer Enduro Urban T3,,,True,True
OK,1,27,UP,UP-5959,TABLET,TRUE,,9 668.00,25.10.2022,UP,5959,,,,Tablet Acer Enduro Urban T3,,,True,True
,1,27,UP,UP-5966,TABLET,TRUE,,10 272.00,25.10.2022,UP,5966,iPad,,,Tablet Apple iPad,,,True,True
,1,27,S,5305,TISKARNA,,,,,,,LBP226dw,,,CANON,,1/20,True,
,1,27,S,S-5903,UPS,TRUE,,39 412.12,30.12.2022,S,5903,Smart,,,UPS 2200VA,,,True,True
,1,27,S,5842,VR,,,,,,,,,,HP REVERB G2,,,True,
OK,1,31,S,S-4599,REPRO,TRUE,,1 650.00,09.09.2016,S,4599,,,,bedničky repro Genius SP-HF,,,True,True
OK,1,32,S,S-4694,REPRO,TRUE,,1 680.00,16.10.2017,S,4694,,,,repro bedničky dřevěné,,,True,True
,1,02,S,5324,MYS,,,,,,,VERTO POLOH,,,TRUST,,OV,True,
,1,02,S,5327,MYS,,,,,,,VERTO POLOH,,,TRUST,,OV,True,
,1,20,S,3705,MONITOR,,,,,,,,,,Samsung,,,True,
,1,02,S,S-5308,NTB,TRUE,,27 818.00,22.12.2020,S,5308,,,,Notebook Acer Aspire 5,,,True,True
,1,03,S,5386,KAMERA,,,,,,,,,,C-2525,,,True,
,1,03,S,5382,MIKROFON,,,,,,,,,,RADIUM 100,,,True,
OK,1,03,S,S-3296,MONITOR,TRUE,,3 850.00,29.12.2009,S,3296,4:3,,,monitor,,,True,True
OK,1,03,S,S-4654,PC,TRUE,,5 980.00,13.06.2017,S,4654,Dell,,,PC-Opteplex,,,True,True
OK,1,03,S,S-4410,REPRO,TRUE,,1 590.00,10.09.2015,S,4410,,,,bedničky repro,,?,True,True
,1,04,S,S-4976,MONITOR,TRUE,,5 191.00,23.12.2019,S,4976,,,,"Monitor Acer KG271miix 27""",,,True,True
,1,04,S,S-4757,PC,TRUE,,28 798.00,05.06.2018,S,4757,,,,PC-HP EliteDesk,,,True,True
,1,04,S,5410,UPS,,,,,,,,,,FORTRON,,,True,
,3,27,s,--,REPRO,,,,,,,,,,GENIUS,,,True,
OK,1,05,S,S-4504,MONITOR,TRUE,,2 683.00,21.12.2015,S,4504,E2070S,,,monitor AOC LCD,,,True,True
,1,23,S,4736,UPS,,,,,,,,,,APC 1000 + síť. karta,,,True,
OK,1,25,S,S-4501,PC,TRUE,,13 764.00,21.12.2015,S,4501,,,,PC Lenovo TC Edge,,,True,True
,1,23,S,4789,SWITCH,,,,,,,,,,HP-2530-24G,,,True,
OK,1,05,S,S-4810,REPRO,TRUE,,1 499.00,26.11.2018,S,4810,,,,repro bedničky Genius PS-HF dřevěné,,,True,True
?,1,05,S,5243,SLUCHATKA,,,,,,,,,,E-BLUE,,,True,
OK,1,06,S,S-4505,MONITOR,TRUE,,2 685.00,21.12.2015,S,4505,E2070S,,,monitor AOC LCD,,,True,True
OK,1,06,S,S-4500,PC,TRUE,,13 764.00,21.12.2015,S,4500,,,,PC Lenovo TC Edge,,,True,True
OK,1,07,Š,S-2882,MONITOR,TRUE,,6 000.00,21.12.2007,S,2882,Syncmaster 205BW,,,"monitor 20""LCD Samsung 205 BW",,,True,True
OK,1,07,Š,S-4851,MONITOR,TRUE,,2 350.00,29.03.2019,S,4851,K222HQL,,,"monitor-Acer LED, LCD 55cm",,,True,True
OK,1,07,Š,S-4857,PC,TRUE,,15 200.00,29.03.2019,S,4857, VERITON ES2710G,,,PC-Acer Veriton E2710G,,,True,True
,1,07,S,4338,TISKARNA,,,,,,,Phaser 3020,,,XEROX,,,True,
--,1,07,S,4535,TISKARNA,,,,,,,AR-6020D,,,SHARP,,,True,
,1,20,Š,S-4773,MONITOR,TRUE,,2 323.00,10.09.2018,S,4773,,,,monitor LCD WLED,,,True,True
,1,20,S,5326,MYS,,,,,,,VERTO POLOH,,,TRUST,,OV,True,
,1,20,Š,S-4772,pc,TRUE,,17 533.00,10.09.2018,S,4772,,,,PC ProDesk 400G5,,,True,True
,1,20,S,4137,tiskarna,,,,,,,MX-2314,,,Sharp,,,True,
,1,20,S,4377,tiskarna,,,,,,,M2625D,,,Samsung,,,True,
,1,25,S,3544,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3545,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3546,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3547,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3548,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3549,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3550,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3551,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3552,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
N,1,25,S,3554,PC,,,,,,,,,,LYNX INTEL CEL 4,,Z,True,
,1,25,S,3555,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
N,1,25,S,3556,PC,,,,,,,,,,LYNX INTEL CEL 4,,Z,True,
,1,25,S,3557,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3558,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3559,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3560,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3561,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3562,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3563,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3564,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3565,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
N,1,25,S,3566,PC,,,,,,,,,,LYNX INTEL CEL 4,,Z,True,
,1,25,S,3567,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
N,1,25,S,3568,PC,,,,,,,,,,LYNX INTEL CEL 4,,Z,True,
N,1,25,S,3569,PC,,,,,,,,,,LYNX INTEL CEL 4,,Z,True,
,1,25,S,3570,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3571,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3572,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
,1,25,S,3573,PC,,,,,,,,,,LYNX INTEL CEL 4,,,True,
OK,1,22,S,S-4733,MONITOR,TRUE,,2 490.00,22.12.2017,S,4733,K222HQL,,,monitor LCD K222Lbd LED,,,True,True
,1,23,UP,4626,3D,,,,,,,,,,Prusa i3 tisk,,,True,
,1,23,S,5372,COOLING,,,,,,,,,,NOTEBO COOLING,,,True,
OK,1,23,S,S-5322,GRAF TABLET,TRUE,,12 990.00,28.12.2020,S,5322,CREATIVE PEN,,,Tablet Wacom creative pen,,,True,True
,1,25,S,3574,MONITOR,,,,,,,,,,ASUS,,1,True,
,1,23,S,5383,MIKROFON,,,,,,,,,,RADIUM 100,,,True,
,1,25,S,3577,MONITOR,,,,,,,,,,ASUS,,3,True,
,1,25,S,3578,MONITOR,,,,,,,,,,ASUS,,4,True,
,1,25,S,3579,MONITOR,,,,,,,,,,ASUS,,5,True,
,1,23,Š,3902,MONITOR,,,,,,,,,,Fujitsu,,,True,
,1,25,S,3584,MONITOR,,,,,,,,,,ASUS,,8,True,
,1,25,S,3585,MONITOR,,,,,,,,,,ASUS,,9,True,
,1,23,S,S-4383,MONITOR,TRUE,,2 890.00,25.06.2015,S,4383,K222HQL,,,monitor K222HQL,,RWS,True,True
,1,23,S,4415,MONITOR,,,,,,,KA210HQ,,,acer,,D,True,
,1,23,S,S-4579,MONITOR,TRUE,,2 510.00,31.08.2016,S,4579,E2270SWDN,,,monitor AOC MT LCD,,NM,True,True
,2,29,S,4625/2,MONITOR,,,,,,,223V,,,Philips,,MS,True,
,1,25,S,3590,MONITOR,,,,,,,,,,ASUS,,14,True,
OK,1,25,UP,UP-4766,MONITOR,TRUE,,2 090.00,27.08.2018,UP,4766,,,,monitor LCD ZR22,,,True,True
OK,2,28,Š,S-4848,MONITOR,TRUE,,2 350.00,29.03.2019,S,4848,K222HQL,,,"monitor-Acer LCD, LED 55cm",,RWS,True,True
,1,23,S,5270,MYS,,,,,,,TRACKBALL,,,LOGITECH,,,True,
,1,25,S,3597,MONITOR,,,,,,,,,,ASUS,,18,True,
,1,23,S,5271,MYS,,,,,,,TRACKBALL,,,LOGITECH,,,True,
,1,23,S,5272,MYS,,,,,,,TRACKBALL,,,LOGITECH,,,True,
,1,23,S,5325,MYS,,,,,,,VERTO POLOH,,,TRUST,,DH,True,
,1,23,S,5328,MYS,,,,,,,VERTO POLOH,,,TRUST,,OV,True,
,1,23,S,4076,NTB,,,,,,,i5,,,HP ProBo,,1/23,True,
OK,1,27,S,S-5356,PC,TRUE,,15 016.10,31.12.2020,S,5356,,,,PC HP Pro Desk 405 G6DM,,RWS,True,True
,1,25,UP,3255/2,MONITOR,,,,,,,,,,,,23,True,
,1,25,UP,3361/2,MONITOR,,,,,,,,,,,,24,True,
,1,25,UP,3362/2,MONITOR,,,,,,,,,,,,25,True,
,1,25,UP,3367/2,MONITOR,,,,,,,,,,,,26,True,
,1,25,UP,3368/2,MONITOR,,,,,,,,,,,,27,True,
,1,25,UP,3371/2,MONITOR,,,,,,,,,,,,28,True,
,1,25,UP,3377/2,MONITOR,,,,,,,,,,,,29,True,
,1,25,S,3576,MONITOR,,,,,,,,,,ASUS,,2,True,
OK,1,25,S,S-3583,MONITOR,TRUE,,9 517.00,29.07.2011,S,3583,,,,monitor LCD,,7,True,True
OK,1,25,S,S-3586,MONITOR,TRUE,,9 517.00,29.07.2011,S,3586,,,,monitor LCD,,10,True,True
OK,1,25,S,S-3587,MONITOR,TRUE,,9 517.00,29.07.2011,S,3587,,,,monitor LCD,,11,True,True
OK,1,25,S,S-3588,MONITOR,TRUE,,9 517.00,29.07.2011,S,3588,,,,monitor LCD,,12,True,True
OK,1,25,S,S-3589,MONITOR,TRUE,,9 517.00,29.07.2011,S,3589,,,,monitor LCD,,13,True,True
OK,1,25,S,S-3592,MONITOR,TRUE,,9 517.00,29.07.2011,S,3592,,,,monitor LCD,,15,True,True
OK,1,25,S,S-3593,MONITOR,TRUE,,9 517.00,29.07.2011,S,3593,,,,monitor LCD,,16,True,True
,1,25,S,S-3596,MONITOR,TRUE,,9 517.00,29.07.2011,S,3596,,,,monitor LCD,,17,True,True
OK,1,25,S,S-3598,MONITOR,TRUE,,9 517.00,29.07.2011,S,3598,,,,monitor LCD,,19,True,True
OK,1,25,S,S-3599,MONITOR,TRUE,,9 517.00,29.07.2011,S,3599,,,,monitor LCD,,20,True,True
OK,1,25,S,S-3600,MONITOR,TRUE,,9 517.00,29.07.2011,S,3600,,,,monitor LCD,,21,True,True
OK,1,25,S,S-3603,MONITOR,TRUE,,9 527.00,29.07.2011,S,3603,,,,monitor LCD,,22,True,True
,1,25,UP,3754/2,MONITOR,,,,,,,,,,,,30,True,
,1,25,S,S-4481,MONITOR,TRUE,,3 850.00,27.11.2015,S,4481,,,,"monitor LED ASUS 21,5""",,,True,True
,1,25,S,3542/1,PC,,,,,,,,,,PC Lynx (1/27) - Transparent,,,True,
OK,1,25,UP,UP-4163,PC,TRUE,,11 011.00,14.10.2014,UP,4163,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4164,PC,TRUE,,11 011.00,14.10.2014,UP,4164,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4165,PC,TRUE,,11 011.00,14.10.2014,UP,4165,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4166,PC,TRUE,,11 011.00,14.10.2014,UP,4166,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4167,PC,TRUE,,11 011.00,14.10.2014,UP,4167,,,,PC-LYNX MS,,,True,True
,1,25,UP,UP-4168,PC,TRUE,,11 011.00,14.10.2014,UP,4168,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4169,PC,TRUE,,11 011.00,14.10.2014,UP,4169,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4170,PC,TRUE,,11 011.00,14.10.2014,UP,4170,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4171,PC,TRUE,,11 011.00,14.10.2014,UP,4171,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4172,PC,TRUE,,11 011.00,14.10.2014,UP,4172,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4173,PC,TRUE,,11 011.00,14.10.2014,UP,4173,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4174,PC,TRUE,,11 011.00,14.10.2014,UP,4174,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4175,PC,TRUE,,11 011.00,14.10.2014,UP,4175,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4176,PC,TRUE,,11 011.00,14.10.2014,UP,4176,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4177,PC,TRUE,,11 011.00,14.10.2014,UP,4177,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,4178,PC,,,,,,,,,,LYNX,,,True,
OK,1,25,UP,UP-4179,PC,TRUE,,11 011.00,14.10.2014,UP,4179,,,,PC-LYNX MS,,,True,True
OK,1,25,UP,UP-4180,PC,TRUE,,11 011.00,14.10.2014,UP,4180,,,,PC-LYNX MS,,,True,True
,1,25,S,S-4531,projektor,TRUE,,20 990.00,22.03.2016,S,4531,,,,projektor Epson EB-U04,,,True,True
N,1,27,UP,3359/2,MONITOR,,,,,,,,,,,,Z,True,
N,1,27,UP,3360/2,MONITOR,,,,,,,,,,,,Z,True,
N,1,27,S,3474,MONITOR,,,,,,,,,,,,Z,True,
,1,27,S,4499,KAMERA,,,,,,,,,,Sony DSC-RX 100,,,True,
,1,27,S,4259,UPS,,,,,,,,,,KARTA MANAGEMENT SMT 100,,,True,
,1,27,S,4277,router,,,,,,,,,,Mikrotik 10port RED,,,True,
,1,25,S,S-4572,TV,TRUE,,16 643.00,31.08.2016,S,4572,,,,monitor Samsung LFD,,,True,True
,1,27,S,S-5312,CHROMEBO,TRUE,,15 990.00,22.12.2020,S,5312,,,,Chromebook Acer 1,,,True,True
,1,27,S,5187,KAMERA,,,,,,,,,,POWERTON,,,True,
,1,07,S,5189,KAMERA,,,,,,,,,,POWERTON,,,True,
,1,27,S,5387,KAMERA,,,,,,,,,,REBEL,,,True,
,1,27,S,3923/2,MONITOR,,,,,,,S230HL,,,acer,,RWS,True,
,1,27,S,"4027
",MONITOR,,,,,,,"27"" LED matný",,,Fujtsu,,,True,
OK,1,27,UP,UP-4623,MONITOR,TRUE,,3 024.00,29.05.2017,UP,4623,227E,,,monitor Philips,,RWS?,True,True
,1,27,S,S-4972,MONITOR,TRUE,,2 667.00,20.12.2019,S,4972,KG221Q,,,"LCD 22"" Acer KG221Q",,,True,True
,1,27,S,5247,MYS,,,,,,,LASER,,,MICROSOFT,,,True,
,1,27,S,5248,MYS,,,,,,,LASER,,,MICROSOFT,,,True,
,1,27,S,5255,MYS,,,,,,,X4000B,,,HP,,,True,
,1,27,S,5260,MYS,,,,,,,X4000B,,,HP,,,True,
,1,27,S,5264,MYS,,,,,,,X4000B,,,HP,,,True,
,1,27,S,5265,MYS,,,,,,,X4000B,,,HP,,,True,
,1,27,S,5266,MYS,,,,,,,X4000B,,,HP,,,True,
,1,27,S,5267,MYS,,,,,,,X4000B,,,HP,,,True,
,1,27,S,5268,MYS,,,,,,,X4000B,,,HP,,,True,
,1,27,S,5269,MYS,,,,,,,X4000B,,,HP,,,True,
,1,27,S,S-4701,NAS,TRUE,,30 976.00,03.10.2017,S,4701,,,,PC-Úložiště dat -PC,,,True,True
,1,27,S,S-5306,NTB,TRUE,,38 962.00,22.12.2020,S,5306,SWIFT 5,,,Notebook Acer Swift 5,,,True,True
,1,27,UP,3359,PC,,,,,,,,,,LYNX,,,True,
,1,27,S,5207,PC,,,,,,,,,,RASPBERRY PI,,,True,
,1,27,S,5208,PC,,,,,,,,,,RASPBERRY PI,,,True,
,1,27,S,4682,RJ45,,,,,,,,,,RJ45 TESTER,,,True,
,3,27,Š,S-4734,UPS,TRUE,,3 739.00,22.12.2017,S,4734,,,,záložní zdroj,,,True,True
,3,27,S,S-4735,UPS,TRUE,,3 739.00,22.12.2017,S,4735,,,,záložní zdroj,,OV,True,True
OK,1,31,S,5185,KAMERA,,,,,,,,,,POWERTON,,,True,
,1,31,S,5279,MIKROFON,,,,,,,,,,RADIUM 100,,,True,
,1,31,S,4626/2,"MONITOR
",,,,,,,,,,Philips,,,True,
,1,31,S,4627/1,PC,,,,,,,,,,HP 282 G2,,,True,
,1,32,S,4627/2,MONITOR,,,,,,,,,,Philips,,,True,
OK,2,21,S,S-4589,PC,TRUE,,10 677.00,31.08.2016,S,4589,,,,PC ProDesk 400G3,,,True,True
,1,33,S,4628/2,MONITOR,,,,,,,,,,Philips,,,True,
,1,33,S,4625/1,pc,,,,,,,,,,HP 280 G2,,,True,
,1,33,S,4633,PROJEKTOR,,,,,,,UHP190,,,BENQ,,,True,
,1,33,S,S-4693,repro,TRUE,,1 680.00,16.10.2017,S,4693,,,,repro bedničky dřevěné,,,True,True
,1,33,S,bez,wifi,,,,,,,,,,tplink,,,True,
,1,CO,S,4040,KLIMATIZACE,,,,,,,,,,Delonghi,,,True,
,1,X,S,4268,NTB,,,,,,,,,,Asus,,,True,
,2,2,S,S-5117,NTB,TRUE,,27 642.45,23.10.2020,S,5117,SWIFT 3,,,Acer Swift 3 ProBook,,,True,True
,2,3,S,S-4588,PC,TRUE,,10 677.00,31.08.2016,S,4588,,,,PC ProDesk 400G3,,,True,True
,2,6,S,S-4712,PROJEKTOR,TRUE,,37 950.00,24.11.2017,S,4712,,,,projektor Vivitek D757WT,,,True,True
,2,7,S,S-4853,NTB,TRUE,,29 950.00,29.03.2019,S,4853,Spectrum 360,,,PC-notebook HP Spectrax360,,,True,True
OK,2,22,S,S-4414,MONITOR,TRUE,,2 990.00,23.09.2015,S,4414,KA210HQ,,,monitor KA210HQbd,,,True,True
,2,21,S,S-5113,NTB,TRUE,,30 343.17,23.10.2020,S,5113,,,,HP ProBook 435 G7,,,True,True
,2,21,S,3379/2,MONITOR,,,,,,,,,,Samsung SyncMaster 923NW,,,True,
OK,2,22,S,S-5569,PC,TRUE,,16 637.50,29.12.2021,S,5569,,,,PC HP ProDesk 405G6 SFF,,,True,True
,2,22,S,S-4713,PROJEKTOR,TRUE,,37 950.00,24.11.2017,S,4713,,,,projektor Vivitek D757WT,,,True,True
OK,1,23,UP,UP-5745,PC,TRUE,,46 012.66,08.12.2021,UP,5745,GTX784,,,Desktop žákovský,,,True,True
,3,27,S,5192,KAMERA,,,,,,,,,,POWERTON,,,True,
,2,25,S,5280,MIKROFON,,,,,,,,,,RADIUM 100,,,True,
