Stav,Změna,Pavilon,Místnost,"IČ",Inv. číslo,Název,Typ,Podtyp,SN,"VYRAD",Datum pořízení,
,17,1,25,S,3596,MONITOR,ASUS,,,,,
,19,1,25,S,3598,MONITOR,ASUS,,,,,
,20,1,25,S,3599,MONITOR,ASUS,,,,,
,21,1,25,S,3600,MONITOR,ASUS,,,,,
,22,1,25,S,3603,MONITOR,ASUS,,,,,
,30,1,25,UP,3754/2,MONITOR,,,,,,
,,1,25,S,4481,MONITOR,Asus,,,,,
,,1,25,S,3542/1,PC,PC Lynx (1/27) - Transparent,,,,,
,,1,25,UP,4163,PC,LYNX,,,,,
,,1,25,UP,4164,PC,LYNX,,,,,
,,1,25,UP,4165,PC,LYNX,,,,,
,,1,25,UP,4166,PC,LYNX,,,,,
,,1,25,UP,4167,PC,LYNX,,,,,
,,1,25,UP,4168,PC,LYNX,,,,,
,,1,25,UP,4169,PC,LYNX,,,,,
,,1,25,UP,4170,PC,LYNX,,,,,
,,1,25,UP,4171,PC,LYNX,,,,,
,,1,25,UP,4172,PC,LYNX,,,,,
,,1,25,UP,4173,PC,LYNX,,,,,
,,1,25,UP,4174,PC,LYNX,,,,,
,,1,25,UP,4175,PC,LYNX,,,,,
,,1,25,UP,4176,PC,LYNX,,,,,
,,1,25,UP,4177,PC,LYNX,,,,,
,,1,25,UP,4178,PC,LYNX,,,,,
,,1,25,UP,4179,PC,LYNX,,,,,
,,1,25,UP,4180,PC,LYNX,,,,,
,,1,25,S,4531,projektor,Epson EB-U04,,,,,
N,Z,1,27,UP,3359/2,MONITOR,,,,,,
N,Z,1,27,UP,3360/2,MONITOR,,,,,,
N,Z,1,27,S,3474,MONITOR,,,,,,
,,1,27,S,4499,KAMERA,Sony DSC-RX 100,,,,,
,,1,27,S,4259,UPS,KARTA MANAGEMENT SMT 100,,,,,
,,1,27,S,4277,router,Mikrotik 10port RED,,,,,
,,1,25,S,4572,TV,SAMSUNG,,,,,
,,1,27,S,5312,CHROMEBO,,,,,,
,,1,27,S,5187,KAMERA,POWERTON,,,,,
,,1,07,S,5189,KAMERA,POWERTON,,,,,
,,1,27,S,5387,KAMERA,REBEL,,,,,
,RWS,1,27,S,3923/2,MONITOR,acer,S230HL,,,,
,,1,27,S,"4027
",MONITOR,Fujtsu,"27"" LED matný",,,,
,RWS?,1,27,UP,4623,MONITOR,philips,227E,,,,
,,1,27,,4767,MONITOR,HP ZR22W,,,,,
,,1,27,S,4972,MONITOR,ACER,KG221Q,,,,
,,1,27,S,5247,MYS,MICROSOFT,LASER,,,,
,,1,27,S,5248,MYS,MICROSOFT,LASER,,,,
,,1,27,S,5248,MYS,MICROSOFT,LASER,,,,
,,1,27,S,5255,MYS,HP,X4000B,,,,
,,1,27,S,5260,MYS,HP,X4000B,,,,
,,1,27,S,5264,MYS,HP,X4000B,,,,
,,1,27,S,5265,MYS,HP,X4000B,,,,
,,1,27,S,5266,MYS,HP,X4000B,,,,
,,1,27,S,5267,MYS,HP,X4000B,,,,
,,1,27,S,5268,MYS,HP,X4000B,,,,
,,1,27,S,5269,MYS,HP,X4000B,,,,
,,1,27,S,4701,NAS,QNAP,,,,,
,,1,27,S,5306,NTB,ACER,SWIFT 5,,,,
,,1,27,UP,3359,PC,LYNX,,,,,
,,1,27,S,5207,PC,RASPBERRY PI,,,,,
,,1,27,S,5208,PC,RASPBERRY PI,,,,,
,,1,27,S,4682,RJ45,RJ45 TESTER,,,,,
,,1,27,Š,4734,UPS,Back-UPS 1400,,,,,
,OV,1,27,S,4735,UPS,Back-UPS 1400,,,,,
,,1,31,S,5185,KAMERA,POWERTON,,,,,
,,1,31,S,5279,MIKROFON,RADIUM 100,,,,,
,,1,31,S,4626/2,"MONITOR
",Philips,,,,,
,,1,31,S,4627/1,PC,HP 282 G2,,,,,
,,1,32,S,4627/2,MONITOR,Philips,,,,,
,,1,32,S,4589,PC,PC ProDesk 400G3,,,,,
,,1,33,S,4628/2,MONITOR,Philips,,,,,
,,1,33,S,4625/1,pc,HP 280 G2,,,,,
,,1,33,S,4633,PROJEKTOR,BENQ,UHP190,,,,
,,1,33,S,4693,repro,,,,,,
,,1,33,S,bez,wifi,tplink,,,,,
,,2,2,S,4847,MONITOR,Acer,K222HQL,,,,
,,1,CO,S,4040,KLIMATIZACE,Delonghi,,,,,
,,1,X,S,4268,NTB,Asus,,,,,
,,2,2,S,5117,NTB,ACER,SWIFT 3,,,,
,,2,3,S,4588,PC,HP PRODESK 400 G3,,,,,
,,2,5,S,4899,PC,HP EliteDesk 800G2,,,,,
,,2,6,S,4712,PROJEKTOR,Vivitek,,,,,
,,2,7,S,4853,NTB,HP,Spectrum 360,,,,
,,2,7,,4640,NTB,Dell Inspiron 17,5000,,,,
,,2,21,S,4414,MONITOR,acer,KA210HQ,,,,
,,2,21,S,5113,NTB,HP ProBo,,,,,
,,2,21,S,3379/2,MONITOR,Samsung SyncMaster 923NW,,,,,
,,2,21,S,5569,PC,HP Prodesk,,,,,
,,2,22,S,4713,PROJEKTOR,VIVITEK,,,,,
,,2,24,UP,5745,PC,LYNX ,GTX784,,,,
,,3,27,S,5192,KAMERA,POWERTON,,,,,
,,2,25,S,5280,MIKROFON,RADIUM 100,,,,,
,,2,25,S,4846,PC,Acer,Veriton,,,,
,,2,29,S,4625/2,MONITOR,Philips,223V,,,,
,,2,02,S,"4852
","MONITOR
",Acer,K222HQL,,,,
,,2,29,S,5568,PC,HP Prodesk,,,,,
,,2,02,S,5188,KAMERA,POWERTON,,,,,
,,2,02,UP,3525,NTB,Acer TravelMate 5735,,,,,
,,2,02,S,4845,PC,Acer,Veriton,,,,
,,2,03,S,4412,MONITOR,Acer,KA210HQ,,,,
,,2,04,S,4412/2,MONITOR,PHILIPS 170S,,,,,
,,2,04,S,3898,PC,LYNX,,,,,
,,2,04,S,3127,REPRO,TRUST,,,,,
,,2,04,S,4276,TISKARNA,EPSON,L300,,,,
